+i160768.5203969,m979205905,/,	tmp
+i160768.5203971,m951789705,/,	1998-100
+i160768.5203976,m977690646,r,s1172,	mirrors.html
+i160768.5203977,m951789707,/,	1999-275
+i160768.5203987,m957763516,r,s933,	1999-275.html
+i160768.5203988,m957763626,r,s322,	1998-401.html
+i160768.5203989,m951789707,/,	1998-401
+i160768.5204011,m951789705,/,	1997-275
+i160768.5204024,m957763705,r,s277,	1998-515.html
+i160768.5204025,m957764203,r,s325,	2000-436.html
+i160768.5226496,m977554031,/,	checkpwd
+i160768.5226500,m1033954032,/,	bib
+i160768.5204026,m951789707,/,	1999-541
+i160768.5204030,m988426955,/,	2001-260
+i160768.5204109,m1019068075,/,	2002-501
+i160768.5204124,m991428977,/,	1995-514
+i160768.6423583,m951789705,/,	1999-180
+i160768.5204194,m991363463,r,s475,	2000-515.html
+i160768.6423587,m951789707,/,	1998-515
+i160768.6423611,m951789707,/,	2000-515
+i160768.6423614,m958117573,/,	zpfft
+i160768.6423616,m1004187614,/,	psibound
+i160768.5204195,m951789711,r,s398,	anonftpd.html
+i160768.6423618,m1014690862,/,	nistp224
+i160768.6423644,m997428440,/,	cdb
+i160768.6423654,m1029892800,/,	talks
+i160768.6443013,m977607275,/,	ftpparse
+i160768.6443017,m947569810,/,	clockspeed
+i160768.5204196,m951789712,r,s1350,	clockspeed.html
+i160768.6443019,m1013028754,/,	slashdoc
+i160768.6443023,m1033954050,/,	export
+i160768.5204197,m995334516,/,	daemontools
+i160768.5204233,m994972628,r,s2187,	daemontools.html
+i160768.5204234,m999204676,r,s175,	data.html
+i160768.5204235,m1009503157,r,s1901,	crypto.html
+i160768.5204236,m1005435923,r,s739,	arith.html
+i160768.5204237,m1007092089,r,s2733,	cdb.html
+i160768.5204238,m1005436262,r,s344,	floatasm.html
+i160768.5204239,m977433956,/,	djbfft
+i160768.5204274,m951789712,r,s1319,	djbfft.html
+i160768.5271570,m963163007,/,	dnscache
+i160768.5204275,m962665064,r,s4016,	dnscache.html
+i160768.5271626,m994734982,/,	docs
+i160768.5204276,m951789712,r,s293,	docs.html
+i160768.5204277,m951789712,r,s952,	dot-forward.html
+i160768.5474322,m947569811,/,	etc-mta
+i160768.5204278,m951789712,r,s3174,	etc-mta.html
+i160768.5204279,m951789712,r,s2990,	ezmlm.html
+i160768.5474324,m977433956,/,	ftp
+i160768.5474345,m951789709,/,	im
+i160768.5204280,m951789712,r,s1823,	fastforward.html
+i160768.5204281,m951789712,r,s1707,	ftp.html
+i160768.5474354,m981944230,/,	freebugtraq
+i160768.5474371,m1033576166,/,	hardware
+i160768.5204282,m991364255,r,s610,	1995-514.html
+i160768.5564424,m977433957,/,	hash127
+i160768.5204283,m958703342,r,s4835,	hash127.html
+i160768.5204284,m951789712,r,s1515,	im.html
+i160768.5564434,m1013546406,/,	immhf
+i160768.5204285,m988235329,r,s2902,	immhf.html
+i160768.5586962,m1028265169,/,	lib
+i160768.5586974,m991784750,/,	libtai
+i160768.5204286,m963255256,r,s2120,	libtai.html
+i160768.5204287,m1006883560,r,s14460,	qmail.html
+i160768.5204288,m999204683,r,s2153,	mail.html
+i160768.5204289,m951789712,r,s108,	maildir.html
+i160768.5586985,m951789710,/,	maildisasters
+i160768.5204290,m951789712,r,s873,	maildisasters.html
+i160768.5204291,m951789712,r,s1688,	mess822.html
+i160768.5586992,m1031742445,/,	mirror
+i160768.5271661,m1028335290,/,	nfscircuit
+i160768.5474399,m1033087928,/,	papers
+i160768.5496842,m1026796351,/,	postpropter
+i160768.5564448,m947569812,/,	postings
+i160768.5564450,m947569812,/,	primegen
+i160768.5204292,m999204693,r,s415,	precompiled.html
+i160768.5204293,m951789712,r,s1121,	primegen.html
+i160768.5564453,m1020562675,/,	proto
+i160768.5204294,m951789712,r,s452,	proto.html
+i160768.5632017,m994717073,/,	publicfile
