+i1040.151680,m982306928,/,	cvs-trees
+i1040.153600,m1032094686,/,	misc
+i1040.155520,m1028968116,/,	releases
+i1040.182400,m1029573826,/,	testing
+i1040.182412,m1026676006,r,s5236,	uwe.html
+i1040.182412,m1026676006,r,s5236,	index.html
+i1040.184320,m983226747,/,	software
+i1040.150262,m981474779,r,s1454,	uwe.asc
+i1040.190129,m924421883,r,s4129,	c-examples.html
+i1040.192000,m1033374420,/,	names
+i1040.193920,m991766862,/,	mausnet
+i1040.197760,m1026768684,/,	wda
+i1040.199680,m955215861,/,	wda-runde
+i1040.199690,m918296777,r,s530,	wda.html
+i1040.201600,m982309003,/,	rfc
+i1040.201607,m999497048,r,s3928,	mailinglists.html
+i1040.203520,m1025546024,/,	articles
+i1040.205440,m954402446,/,	surveys
+i1040.182412,m1026676006,r,s5236,	uwe.htm
+i1040.205473,m882483673,r,s13850,	uwe.jpeg
+i1040.149761,m958717979,r,s2032,	published-under.png
+i1040.149762,m958717979,r,s1358,	made-with-gnu.png
+i1040.149763,m958717980,r,s1590,	license-gnu.png
+i1040.149765,m958717981,r,s4786,	run_gnu.png
+i1040.380171,m1007547529,/,	lrzsz
+i1040.151996,m1007491118,r,s895,	lrzsz.html
+i1040.343680,m965712500,/,	protocols
+i1040.149767,m964094621,r,s8812,	wishlist.html
+i1040.11520,m960255239,/,	daemontools
+i1040.149768,m960151113,r,s1166,	daemontools.html
+i1040.372480,m963343587,/,	snews
+i1040.149766,m1008868706,r,s1080,	software.html
+i1040.149769,m1028123159,r,s4466,	ftpcopy.html
+i1040.393600,m1028122907,/,	ftpcopy
+i1040.397440,m998394315,/,	dyndb
+i1040.397452,m998468548,r,s1920,	dyndb.html
+i1040.403200,m979843950,/,	iodp
+i1040.401280,m964402455,/,	dbcomp
+i1040.397467,m964457594,r,s18315,	dbcomp.html
+i1040.149772,m1008868805,r,s2183,	iodp.html
+i1040.149773,m965938148,r,s4458,	uoinstall.html
+i1040.149775,m1008868819,r,s1175,	strhash.html
+i1040.410880,m985717201,/,	strhash
+i1040.416640,m1006129117,/,	downloads
+i1040.673920,m1027578165,/,	test
+i1040.220802,m1020103677,/,	pic
+i1040.149777,m1028123173,r,s5087,	recent.html
+i1040.668160,m987764402,/,	cacco
+i1040.151642,m1026166832,r,s4268,	rates.html
+i1040.660480,m1006943974,/,	patches
+i1040.648960,m1013275316,/,	usendmail
+i1040.150028,m1013275420,r,s2519,	usendmail.html
+i1040.190128,m882483673,r,s1822,	uwe.asc-rsa
+i1040.654720,m1002035908,/,	upgpverify
+i1040.150352,m1002036035,r,s2922,	upgpverify.html
+i1040.149923,m995610716,r,s3739,	patches.html
+i1040.664320,m982967376,/,	portgate
+i1040.579840,m1026287279,/,	nausu
+i1040.288438,m1033745545,/,	tmp
+i1040.151998,m1021901780,/,	pic2
+i1040.380161,m1011470151,/,	js
+i1040.288454,m1028968116,/,	zmodem
+i1040.301613,m1026639811,/,	licenses
+i1040.152019,m1000198997,r,s0,	Makefile.tmp
+i1040.192008,m995027955,/,	bugs
+i1040.152015,m997170036,r,s6109,	pictures.html
+i1040.152017,m1008868778,r,s2895,	uschedule.html
+i1040.192009,m1006086151,/,	uschedule
+i1040.192028,m1026652285,/,	dcache
+i1040.209438,m1031760456,/,	kennt_niemand
+i1040.152018,m1026652382,r,s1744,	dcache.html
+i1040.240050,m1006900325,/,	faq
