+i1040.372483,m1021720740,r,s36655,	INSTALL.ata
+i1040.372482,m1021720680,r,s735,	CKSUM
+i1040.372485,m1021720740,r,s37659,	INSTALL.chs
+i1040.372486,m1021720740,r,s21798,	INSTALL.dbr
+i1040.372487,m1021720740,r,s124518,	INSTALL.i386
+i1040.372488,m1021720740,r,s24089,	INSTALL.linux
+i1040.372489,m1021720740,r,s12466,	INSTALL.mbr
+i1040.372490,m1021720740,r,s22559,	INSTALL.os2br
+i1040.372484,m1021720740,r,s14523,	INSTALL.pt
+i1040.372491,m1021720740,r,s1311,	MD5
+i1040.372492,m1021720740,r,s1295,	TRANS.TBL
+i1040.372493,m1021720860,r,s23856033,	base31.tgz
+i1040.372494,m1021720680,r,s2048,	boot.catalog
+i1040.372495,m1021720680,r,s4543036,	bsd
+i1040.372496,m1021720680,r,s4189475,	bsd.rd
+i1040.372497,m1021720680,r,s2949120,	cdrom31.fs
+i1040.372498,m1021720740,r,s16446322,	comp31.tgz
+i1040.372499,m1021720740,r,s1192588,	etc31.tgz
+i1040.372500,m1021720740,r,s1474560,	floppy31.fs
+i1040.372501,m1021720740,r,s1474560,	floppyB31.fs
+i1040.372502,m1021720740,r,s1474560,	floppyC31.fs
+i1040.372503,m1021720740,r,s2770769,	game31.tgz
+i1040.372504,m1021781040,r,s306,	index.txt
+i1040.372505,m1021720740,r,s5542186,	man31.tgz
+i1040.372506,m1021720740,r,s1704685,	misc31.tgz
+i1040.372507,m1021720740,r,s8725189,	xbase31.tgz
+i1040.372508,m1021720800,r,s31393066,	xfont31.tgz
+i1040.372509,m1021720800,r,s19803842,	xserv31.tgz
+i1040.372510,m1021720680,r,s1859516,	xshare31.tgz
