+i160768.5632103,m820801384,r,s17108,	acid.shar.3.gz
+i160768.5632104,m844157042,r,s22194,	netminutes-0.51.tar.gz
+i160768.5632105,m834462487,r,s22180,	multitee-3.0.shar.gz
+i160768.5632106,m853093245,r,s3874,	mh-qmail-smail.c-0.01
+i160768.5632107,m837978108,r,s2153,	majordomo+qmail-patch-0.70.gz
+i160768.5632108,m867640324,r,s62693,	ezmlm-0.53.tar.gz
+i160768.5632109,m811293701,r,s9611,	ufsread-0.50.shar.gz
+i160768.5632110,m871264359,r,s11123,	ftpparse.c
+i160768.5677075,m908175488,/,	obsolete
+i160768.5632111,m833668306,r,s25974,	anonftpd-0.96.shar.gz
+i160768.5632112,m842412667,r,s35426,	ptyget-0.50.tar.gz
+i160768.5632113,m897908004,r,s220668,	qmail-1.03.tar.gz
+i160768.5677081,m898152230,/,	precompiled
+i160768.5632114,m895572964,r,s26352,	dot-forward-0.71.tar.gz
+i160768.5632115,m868735496,r,s1691,	ftpparse.h
+i160768.5632116,m895595152,r,s40659,	fastforward-0.51.tar.gz
+i160768.5632117,m911680211,r,s14386,	checkpassword-0.81.tar.gz
+i160768.5632118,m912717399,r,s31253,	surveydns-0.51.tar.gz
+i160768.5632119,m876609649,r,s54189,	sigs-0.50.tar.gz
+i160768.5632120,m904060721,r,s26283,	rblsmtpd-0.70.tar.gz
+i160768.5632121,m878521788,r,s9381,	toy-dcba.c
+i160768.5632122,m892014328,r,s52,	exrc
+i160768.5632123,m904513179,r,s28416,	qmailanalog-0.70.tar.gz
+i160768.5632124,m904962827,r,s64287,	mess822-0.58.tar.gz
+i160768.5632125,m911096919,r,s55079,	serialmail-0.75.tar.gz
